藏文	中文
ཀ་བ		柱子
ཀ་མ་ལ་ཤཱི་ལ		蓮花戒
ཀཽ་ཤི་ཀས་ཞུས་པ		《帝釋請問經》
ཀུན་མཁྱེན		遍智
ཀུན་མཁྱེན་གཉིས་པ		第二遍智
ཀུན་ཏུ་འགྲོའི་རྒྱུ		遍行因
ཀུན་ཏུ་བཟང་པོ		普賢
ཀུན་བཏགས		遍計所執
ཀུན་བཏུས		《集論》
ཀུན་བཏུས་ཀྱི་འགྲེལ་པ		《集論釋》
ཀུན་བཏུས་དར་ཊཱིཀ	賈曹傑 《阿毗達摩集論釋》
ཀུན་བརྟགས		分別
ཀུན་ནས་ཉོན་མོངས་ཕྱོགས		染污品
ཀུན་འབྱུང་		集
ཀུན་འབྱུང་འཕགས་པའི་བདེན་པ		集聖諦
ཀུན་རྫོབ		世俗
ཀུན་རྫོབ་བདེན་པ		世俗諦
ཀུན་རྫོབ་སེམས་བསྐྱེད		世俗發心
ཀུན་ཤེེས་པའི་དབང་པོ		具知根
ཀུན་སློང་		等起
ཀུན་ཤེས་ཀཽ་དི་ན		憍陳如
ཀྱེ་རྡོར་རྒྱུད		《喜金剛續》
ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོས་ཞུས་པའི་མདོ		《海龍王請問經》
ཀླན་ཀ	興辯
ཀླུ		龍
དཀོན་མཆོག་སྒྲོན་མེ		《寶炬經》
བཀའ		教言
རྐྱང་རྩིས		單獨納入
རྐྱེན		緣
ལྐོག་གྱུར		隱蔽分
སྐུར་འདེབས		損減
སྐད་ཅིག་མ		剎那性
སྐད་ཅིག་མའི་སྦྱོར་བ		剎那加行
སྐབས་སྟོབས་ཀྱིས་འཕེན་པ		應時引出
སྐུ་དྲང་པོར་སྲངས		端身
སྐུ་གསུམ		三身
སྐྱེ་བའི་མཚན་ཉིད		生相
སྐྱེ་མཆེད		處
སྐྱེ་བ་ངོ་བོ་ཉིད་མེད་པ		生無自性性
སྐྱེས་པ		已生
སྐྱེས་པ་གནས་པ		生已堅住
སྐྱེས་བུ		士夫
སྐྱེས་བུ་ཆུང་ངུ་		下士道
སྐྱེས་བུ་ཆེན་པོ		上士道
སྐྱེས་བུ་དམ་པ		善士夫
སྐྱེས་བུ་འབྲིང་		中士道
སྐྱེས་བུས་བྱེད་པའི་འབྲས་བུ		士用果
སྐྱེད་བྱེད		能生
སྐྲ་ཤད་འཛག་སྣང་		顯現髮落、髮影
བསྐལ་མཉམ་གྱི་རྒྱུ		同類因
བསྐལ་དོན		隱蔽事
བསྐལ་པ་གྲངས་མེད་གསུམ		三大阿僧祇劫
བསྐྱེད་བྱ		所生
སྐྱེ་ཙམ་ནས་འདའ་བ		生即般
སྐྱེས་འདའ་བ		生般
ཁ་དོག	顏色
ཁ་ཆེ་ངྷརྨ་ཤྲཱི		喀什米爾達瑪悉利
ཁ་ནང་བལྟས་ཀྱི་ཤེས་པ		向內知
ཁ་ཕྱི་བལྟས་ཀྱི་ཤེས་པ		向外知
ཁ་བའི་རེག་པ		雪觸
ཁམས		界
ཁམས་གསུམ		三界
ཁམས་གོང་མ		上界
ཁུག་རྣ		霧
ཁོང་ཁྲོ		瞋
མཁས་གྲུབ་རྗེ		克主傑
མཁས་མཆོག་དབྱིག་གཉེན		世親賢者
འཁོན་འཛིན		恨
འཁོར་གསུམ		三輪
ཁྱད་ཆོས		差別法
ཁྱད་པར་བལྟོས་པ་བའི་རང་བཞིན་གྱི་རྟགས་ཡང་དག	觀待差別的自性正因
ཁྱད་པར་དག་པ་བའི་རང་བཞིན་གྱི་རྟགས་ཡང་དག	清淨差別的自性正因
ཁྱད་པར་ཅན		勝進者
ཁྱད་གཞི		差別事
ཁྱོད		爾
ཁྱོད་ཁྱོད་རང་ཡིན་པ		爾是爾自己
ཁྱོད་དང་ཕན་ཚུན་ཐ་དད་ཁྱོད		與爾互異是爾
ཁྱོད་དང་ཐ་དད་ཁྱོད		與爾為異是爾
ཁྱོད་མིན་པ་ཁྱོད་ཡིན་པ		非爾是爾
ཁྱབ་པ		周遍
ཁྱབ་པ་ཁས		已承許周遍
ཁྱབ་པ་གྲུབ		周遍成立
ཁྱབ་པ་སྒྲིགས		排比周遍
ཁྱབ་པ་འདུ་བྱེད་ཀྱི་སྡུག་བསྔལ		遍行苦、行苦
ཁྱབ་བྱེད་མ་དམིགས་པའི་རྟགས		能遍不可得因
ཁྱབ་བྱེད་འགལ་དམིགས		能遍相違可得
ཁྲི་བརྒྱད་སྟོང་པ		《般若一萬八千頌》
ཁྲེལ་མེད་པ		無愧
ཁྲོ་བ		忿
མཁྱེན་པ		智
མཁྱེན་གསུམ		三智
མཁྱེན་གསུམ་བསྡུས་སྒོམ		三智攝修
འཁོར་བ		輪迴
འཁོར་ལོ་ཐ་མ		後轉法輪
འཁོར་ལོ་དང་པོ		初轉法輪
འཁོར་ལོ་བར་པ		中轉法輪
འཁོར་ལོ་རིན་པོ་ཆེ		寶輪
འཁོར་ལོས་བསྒྱུར་བའི་རྒྱལ་པོ		轉輪聖王
འཁོར་གསུམ་ཡོངས་སུ་དག་པ		三輪清淨
འཁྲུལ་རྒྱུ་ཅན		有錯亂因者
འཁྲུལ་པའི་བློ		亂覺
གང་ཟག	補特伽羅
གང་ཟག་གི་བདག་མེད		補特伽羅無我
གང་ཟག་བདག་འཛིན་ཀུན་བཏགས		遍計補特伽羅我執
གང་ཟག་མ་ཡིན་པར་གྱུར་པའི་ལྡན་མིན་འདུ་བྱེད		非補特伽羅的不相應行
གང་ཟག་ཡིན་པར་གྱུར་པའི་ལྡན་མིན་འདུ་བྱེད		屬補特伽羅的不相應行
གོང་འཕོ་བ		上流
གྱ་ནོམ		妙
གྲགས་ཆ		《稱揚分釋》
གྲགས་པའི་རྟགས་ཡང་དག	極成正因
གྲགས་པའི་རྗེས་དཔག	極成比量
གྲང་རེག	冷觸
གྲངས་ངེས		定數
གྲངས་ཅན་པ		數論師
གྲངས་འབྲས་སྤུ་ལོང་བྱེད		寒毛豎起
གྲིབ་མ		影
གྲུབ་མཐའ་སྨྲ་བ		宣說宗義者
གྲུབ་བདེ་རྫས་གཅིག	成住同質
གླང་པོ་ཆེ་ས་ལ་རབ་བརྟན		伊羅婆那象王
གླེང་གཞི		序品
གློ་བུར་བ		客塵
དགག་རྟགས་ཡང་དག	遮遣正因
དགག་རྟོག	遮遣分別
དགག་པ		遮遣法
དགག་པའི་རྣམ་པ		遮遣相
དགག་བྱ		所破
དགག་བྱའི་ཆོས		所破法
དགག་གཞི་དྲིས་འཕངས		提問遮遣處所牽引
དགག་བཞག་སྤོང་གསུམ		破除、安立與斷諍三者
དགག་གཤགས་སྒྲུབ་གཤགས		破除駁斥、成立駁斥
དགའ་ལྡན		覩史多天(兜率天)
དགེ་འདུན་དཀོན་མཆོག	僧寶
དགེ་འདུན་རྒྱ་མཚོ		僧海
དགེ་སྡིག་འདྲེས་མའི་ལས		善、惡夾雜業
དགེ་བསྙེན		優婆塞
དགེ་བསྙེན་མ		優婆夷
དགེ་བ		善
དགེ་བ་བཅུ		十善
དགེ་བའི་རྩ་བ		善根
དགེ་བའི་ལས		善業
དགེ་བའི་བཤེས་གཉེན		善知識
དགེ་སྦྱོང་གི་ཚུལ		沙門性
དགེ་སྦྱོང་ཚུལ་གྱི་འབྲས་བུ		沙門性果
དགེ་སློང་		比丘
དགེ་སློང་མ		比丘尼
དགོངས་འགྲེལ		《解深密經》
དགོངས་པ		意趣
དགོངས་པ་རབ་གསལ		《善顯密義疏》
དགོངས་པ་ཅན་གྱི་མྱང་འདས		具意趣涅槃
དགོས་འགྲེལ་ངག	旨趣相屬文
དགོས་པ		旨趣、所為、目的
དགྲ་བཅོམ་པ		阿羅漢
དགྲ་བཅོམ་པའི་འབྲས་བུ		阿羅漢果
དགྲ་བཅོམ་ཞུགས་པ		阿羅漢向
མགོན་པོ་ཀླུ་སྒྲུབ		龍樹依怙
འགལ་ཁྱབ་རྣལ་མ		正相違遍
འགལ་ཁྱབ་ཕྱིན་ཅི་ལོག	倒相違遍
འགལ་བ		相違
འགལ་བ་མི་མཐུན་ཕྱོགས		相違的異品
འགལ་ཟླ		對立/相違品
འགེབས་པ		遮蔽
འགོག་བདེན		滅諦
འགོག་པ		滅、滅定
འགོག་པ་འཕགས་པའི་བདེན་པ		滅聖諦
འགོག་པའི་གཏན་ཚིགས		破斥之因
འགོད་ཚུལ		立式
འགྱུར་བའི་སྡུག་བསྔལ		壞苦
གྲུ་བཞི		方
འགྲེལ་ཆེན		《大釋》
འགྲེལ་ཆུང་		《略釋》
འགྲེལ་པ་དོན་གསལ		《明義釋》
འགྲེལ་བཤད་ཚིག་གསལ		《明句疏》
འགྲེལ་བཤད་རྟོགས་དཀའི་སྣང་བ		《難了光明釋》
འགྲོ་བ་རིགས་དྲུག	六道
འགྲོས་གསུམ་དུ་སྐྱེ་བ		三行生起
རྒོད་པ		掉舉
རྒོལ་བ་ལ་བལྟོས་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས		待論者不成因
རྒྱ་ཆེར་རོལ་པ		《大遊戲經》
རྒྱགས་པ		憍
རྒྱན་བཅས་ཀྱི་འགོག་པ		有莊嚴滅
རྒྱན་སྣང་		《莊嚴光明釋》
